iter	Passed	Remaining
428	1770	2356
429	1774	2351
430	1778	2347
431	1782	2343
432	1786	2338
433	1789	2334
434	1794	2330
435	1798	2326
436	1801	2321
437	1805	2316
438	1809	2312
439	1814	2309
440	1818	2304
441	1821	2300
442	1826	2296
443	1828	2289
444	1832	2285
445	1833	2277
446	1837	2273
447	1842	2270
448	1846	2265
449	1850	2261
450	1853	2256
451	1858	2253
452	1862	2249
453	1866	2244
454	1870	2240
455	1875	2237
456	1879	2232
457	1883	2228
458	1887	2224
459	1892	2221
460	1896	2216
461	1900	2212
462	1904	2208
463	1906	2202
464	1910	2198
465	1915	2194
466	1920	2191
467	1924	2187
468	1928	2183
469	1932	2179
470	1937	2175
471	1941	2171
472	1944	2167
473	1948	2162
474	1953	2159
475	1958	2155
476	1962	2151
477	1966	2147
478	1970	2143
479	1975	2139
480	1978	2135
481	1982	2130
482	1987	2127
483	1991	2122
484	1995	2118
485	1999	2114
486	2004	2111
487	2008	2107
488	2012	2102
489	2016	2098
490	2021	2095
491	2025	2091
492	2027	2085
493	2033	2082
494	2037	2078
495	2041	2074
496	2045	2070
497	2050	2067
498	2054	2063
499	2058	2058
500	2063	2054
501	2067	2050
502	2071	2046
503	2075	2042
504	2079	2038
505	2083	2034
506	2087	2030
507	2091	2025
508	2096	2022
509	2100	2018
510	2104	2013
511	2108	2009
512	2113	2006
513	2117	2002
514	2121	1998
515	2125	1993
516	2130	1990
517	2134	1985
518	2139	1982
519	2144	1979
520	2148	1975
521	2152	1970
522	2156	1966
523	2161	1963
524	2165	1958
525	2169	1954
526	2173	1950
527	2177	1946
528	2181	1942
529	2185	1938
530	2187	1932
531	2192	1928
532	2196	1924
533	2200	1920
534	2204	1915
535	2209	1912
536	2212	1908
537	2216	1903
538	2220	1899
539	2224	1895
540	2228	1891
541	2232	1886
542	2236	1882
543	2240	1878
544	2245	1874
545	2249	1870
546	2252	1865
547	2257	1861
548	2261	1857
549	2264	1853
550	2268	1848
551	2273	1844
552	2276	1840
553	2280	1835
554	2284	1831
555	2289	1828
556	2293	1824
557	2297	1820
558	2302	1816
559	2307	1812
560	2311	1808
561	2314	1803
562	2318	1799
563	2322	1795
564	2326	1791
565	2330	1786
566	2334	1783
567	2339	1779
568	2343	1774
569	2347	1770
570	2351	1766
571	2355	1762
572	2359	1758
573	2363	1754
574	2369	1751
575	2373	1746
576	2377	1742
577	2381	1738
578	2385	1734
579	2389	1730
580	2393	1726
581	2398	1722
582	2402	1718
583	2406	1714
584	2410	1709
585	2414	1705
586	2418	1701
587	2422	1697
588	2426	1693
589	2431	1689
590	2435	1685
591	2439	1681
592	2444	1677
593	2448	1673
594	2453	1669
595	2457	1665
596	2461	1661
597	2465	1657
598	2469	1653
599	2473	1649
600	2477	1645
601	2482	1641
602	2486	1637
603	2490	1633
604	2495	1629
605	2500	1625
606	2504	1621
607	2508	1617
608	2512	1613
609	2516	1609
610	2520	1604
611	2524	1600
612	2529	1596
613	2533	1592
614	2537	1588
615	2542	1585
616	2546	1580
617	2550	1576
618	2554	1572
619	2559	1568
620	2563	1564
621	2566	1559
622	2570	1555
623	2575	1551
624	2579	1547
625	2582	1543
626	2587	1539
627	2591	1535
628	2595	1530
629	2599	1526
630	2604	1523
631	2608	1519
632	2612	1514
633	2617	1510
634	2621	1506
635	2625	1502
636	2629	1498
637	2633	1494
638	2638	1490
639	2642	1486
640	2645	1481
641	2649	1477
642	2654	1473
643	2658	1469
644	2661	1465
645	2665	1460
646	2669	1456
647	2673	1452
648	2678	1448
649	2682	1444
650	2687	1440
651	2691	1436
652	2695	1432
653	2698	1427
654	2703	1423
655	2707	1419
656	2710	1415
657	2716	1412
658	2720	1407
659	2725	1403
660	2728	1399
661	2733	1395
662	2737	1391
663	2741	1387
664	2744	1382
665	2749	1378
666	2753	1374
667	2756	1370
668	2760	1365
669	2765	1362
670	2769	1357
671	2773	1353
672	2776	1349
673	2781	1345
674	2785	1341
675	2789	1336
676	2792	1332
677	2797	1328
678	2801	1324
679	2805	1320
680	2809	1316
681	2812	1311
682	2816	1307
683	2820	1302
684	2824	1298
685	2829	1294
686	2833	1290
687	2837	1286
688	2841	1282
689	2846	1278
690	2850	1274
691	2854	1270
692	2858	1266
693	2862	1262
694	2866	1258
695	2870	1253
696	2874	1249
697	2878	1245
698	2882	1241
699	2886	1237
700	2891	1233
701	2895	1229
702	2899	1224
703	2903	1220
704	2907	1216
705	2911	1212
706	2915	1208
707	2919	1204
708	2924	1200
709	2928	1195
710	2932	1191
711	2933	1186
712	2937	1182
713	2942	1178
714	2946	1174
715	2950	1170
716	2954	1165
717	2958	1161
718	2962	1157
719	2966	1153
720	2971	1149
721	2975	1145
722	2979	1141
723	2984	1137
724	2988	1133
725	2993	1129
726	2997	1125
727	3002	1121
728	3006	1117
729	3010	1113
730	3014	1109
731	3019	1105
732	3023	1101
733	3027	1097
734	3031	1092
